run_id,variant,sample,bin_index_1_based,reference_upper_edge_um,reproduced_upper_edge_um,reference_mean_velocity,reproduced_mean_velocity,signed_error,absolute_error,reproduced_stdev,reproduced_observations
A01_control,A_legacy,control,1,3.776315789473684,3.776315789473684,463.581574911175,446.24188006394587,-17.33969484722911,17.33969484722911,49.02073735664545,25471
A01_control,A_legacy,control,2,7.552631578947368,7.552631578947368,479.8822450752279,465.9657087351338,-13.916536340094126,13.916536340094126,45.10175851593287,23382
A01_control,A_legacy,control,3,11.32894736842105,11.328947368421053,486.8157178991975,477.56823606632423,-9.24748183287329,9.24748183287329,40.5280389283508,19838
A01_control,A_legacy,control,4,15.10526315789474,15.105263157894736,492.9779131604483,496.29779089221273,3.31987773176445,3.31987773176445,34.68236288625613,19739
A01_control,A_legacy,control,5,18.88157894736842,18.881578947368425,509.0915952734761,512.9708222636792,3.879226990203108,3.879226990203108,30.367918379253172,16437
A01_control,A_legacy,control,6,22.65789473684211,22.657894736842106,518.9359718846018,518.5352072773038,-0.4007646072980151,0.4007646072980151,30.120129902356407,17482
A01_control,A_legacy,control,7,26.43421052631579,26.434210526315788,523.9541438077175,520.937658889331,-3.0164849183864817,3.0164849183864817,30.110055916662965,23159
A01_control,A_legacy,control,8,30.21052631578947,30.210526315789473,525.3635252468608,520.7196491560251,-4.643876090835761,4.643876090835761,31.00164849585865,19325
A01_control,A_legacy,control,9,33.98684210526316,33.98684210526316,527.2624271378364,521.3408030304097,-5.921624107426737,5.921624107426737,31.401642749626017,18522
A01_control,A_legacy,control,10,37.76315789473685,37.76315789473685,528.2306309824129,522.3660161457827,-5.864614836630153,5.864614836630153,31.67984480443235,20920
A01_control,A_legacy,control,11,41.53947368421053,41.53947368421053,529.4324597532669,524.4520027553508,-4.9804569979161215,4.9804569979161215,31.43834381101552,18313
A01_control,A_legacy,control,12,45.31578947368421,45.31578947368421,529.5276446960855,525.7315176360579,-3.7961270600276293,3.7961270600276293,31.50947462180472,19773
A01_control,A_legacy,control,13,49.0921052631579,49.0921052631579,529.257119815141,527.0869689812589,-2.170150833882076,2.170150833882076,30.77464193333625,25112
A01_control,A_legacy,control,14,52.86842105263158,52.868421052631575,524.5701823925508,524.7063912432859,0.1362088507351018,0.1362088507351018,30.455263693364284,22293
A01_control,A_legacy,control,15,56.64473684210527,56.64473684210527,514.01630787243,518.1233752252948,4.10706735286476,4.10706735286476,31.739767659968944,19691
A01_control,A_legacy,control,16,60.42105263157895,60.421052631578945,499.5646179624673,500.2879559907084,0.7233380282410735,0.7233380282410735,37.06797638812261,23220
A01_control,A_legacy,control,17,64.19736842105263,64.19736842105263,495.0250598464668,484.3825203115426,-10.642539534924197,10.642539534924197,43.833246476237555,25500
A01_control,A_legacy,control,18,67.97368421052632,67.97368421052632,486.4867244655335,471.19331063118517,-15.293413834348314,15.293413834348314,48.641584218385056,24831
A01_control,A_legacy,control,19,71.75,71.75,468.7498799456037,447.8487192370034,-20.901160708600287,20.901160708600287,50.37065734405641,16240
A01_sepsis,A_legacy,sepsis,1,3.407894736842105,3.4078947368421053,557.2336048748283,544.2387389779798,-12.994865896848523,12.994865896848523,74.6207393215442,18383
A01_sepsis,A_legacy,sepsis,2,6.815789473684211,6.815789473684211,559.2436708316217,544.7346203212423,-14.509050510379325,14.509050510379325,72.46879352850304,21545
A01_sepsis,A_legacy,sepsis,3,10.22368421052632,10.223684210526315,560.3987896274358,546.5679467517575,-13.830842875678286,13.830842875678286,68.04002700036104,20515
A01_sepsis,A_legacy,sepsis,4,13.63157894736842,13.631578947368421,560.8155344757931,549.7929138473671,-11.022620628426012,11.022620628426012,66.96600241388961,20515
A01_sepsis,A_legacy,sepsis,5,17.03947368421053,17.039473684210527,561.1513433894442,552.8015932478573,-8.34975014158681,8.34975014158681,68.99830681517184,21893
A01_sepsis,A_legacy,sepsis,6,20.44736842105263,20.44736842105263,562.5352283392697,554.0832440335528,-8.451984305716906,8.451984305716906,68.0490526094852,22769
A01_sepsis,A_legacy,sepsis,7,23.85526315789474,23.855263157894736,564.515324039244,553.6506014753994,-10.864722563844566,10.864722563844566,67.76578800825618,21496
A01_sepsis,A_legacy,sepsis,8,27.26315789473684,27.263157894736842,565.4026943513294,553.5045994453246,-11.898094906004758,11.898094906004758,68.27496445656081,20141
A01_sepsis,A_legacy,sepsis,9,30.67105263157895,30.67105263157895,563.8010805937621,552.9059884312018,-10.895092162560331,10.895092162560331,68.93581705912176,20352
A01_sepsis,A_legacy,sepsis,10,34.07894736842105,34.078947368421055,564.01905988649,551.0951086883956,-12.923951198094414,12.923951198094414,69.56160762641117,20022
A01_sepsis,A_legacy,sepsis,11,37.48684210526316,37.48684210526316,567.9904496523931,554.1018271293976,-13.888622522995433,13.888622522995433,68.72306330806599,20420
A01_sepsis,A_legacy,sepsis,12,40.89473684210526,40.89473684210526,569.2992909416753,555.8643613491935,-13.434929592481808,13.434929592481808,67.31137842248495,22272
A01_sepsis,A_legacy,sepsis,13,44.30263157894737,44.30263157894737,566.9952070847053,557.5877448336244,-9.407462251080915,9.407462251080915,65.65537114926381,22406
A01_sepsis,A_legacy,sepsis,14,47.71052631578947,47.71052631578947,566.1030653000455,557.8729226450487,-8.230142654996826,8.230142654996826,66.85571858074624,21811
A01_sepsis,A_legacy,sepsis,15,51.11842105263158,51.11842105263158,560.438454051932,553.9332316926373,-6.5052223592947485,6.5052223592947485,66.03252450114334,21737
A01_sepsis,A_legacy,sepsis,16,54.52631578947368,54.526315789473685,559.1539981460769,547.1456684819988,-12.008329664078133,12.008329664078133,65.10896300327327,21747
A01_sepsis,A_legacy,sepsis,17,57.93421052631579,57.934210526315795,557.5640646558861,541.3251708621054,-16.238893793780676,16.238893793780676,68.17607995315049,22343
A01_sepsis,A_legacy,sepsis,18,61.3421052631579,61.3421052631579,553.6478422288675,536.5243907094506,-17.123451519416903,17.123451519416903,69.14530622702875,24815
A01_sepsis,A_legacy,sepsis,19,64.75,64.75,550.1015754976037,530.463550170631,-19.638025326972638,19.638025326972638,68.78397660566128,15749
A02_control,A_legacy,control,1,3.776315789473684,3.776315789473684,463.581574911175,444.6827391612344,-18.898835749940588,18.898835749940588,48.4447304615843,27886
A02_control,A_legacy,control,2,7.552631578947368,7.552631578947368,479.8822450752279,462.7056651328418,-17.176579942386127,17.176579942386127,44.9727083981554,24603
A02_control,A_legacy,control,3,11.32894736842105,11.328947368421053,486.8157178991975,476.43643854596286,-10.379279353234665,10.379279353234665,40.47429567822311,19700
A02_control,A_legacy,control,4,15.10526315789474,15.105263157894736,492.9779131604483,495.8154601822819,2.837547021833643,2.837547021833643,34.646523004199004,18742
A02_control,A_legacy,control,5,18.88157894736842,18.881578947368425,509.0915952734761,512.4079168104039,3.3163215369277736,3.3163215369277736,30.786201280442175,15884
A02_control,A_legacy,control,6,22.65789473684211,22.657894736842106,518.9359718846018,519.0484516843212,0.11247979971938094,0.11247979971938094,30.284321817900533,17246
A02_control,A_legacy,control,7,26.43421052631579,26.434210526315788,523.9541438077175,520.6569897363584,-3.2971540713591594,3.2971540713591594,30.44142152853644,23573
A02_control,A_legacy,control,8,30.21052631578947,30.210526315789473,525.3635252468608,521.1608376422196,-4.202687604641255,4.202687604641255,30.755939044572415,19063
A02_control,A_legacy,control,9,33.98684210526316,33.98684210526316,527.2624271378364,521.3580347648117,-5.904392373024734,5.904392373024734,31.317205732916104,17710
A02_control,A_legacy,control,10,37.76315789473685,37.76315789473685,528.2306309824129,522.4579999846701,-5.7726309977427945,5.7726309977427945,31.269469191365626,20608
A02_control,A_legacy,control,11,41.53947368421053,41.53947368421053,529.4324597532669,524.2156483849126,-5.2168113683543424,5.2168113683543424,31.370295556843264,18041
A02_control,A_legacy,control,12,45.31578947368421,45.31578947368421,529.5276446960855,525.6818625248055,-3.845782171280007,3.845782171280007,31.767705532116647,19269
A02_control,A_legacy,control,13,49.0921052631579,49.0921052631579,529.257119815141,526.8845141809711,-2.3726056341698722,2.3726056341698722,30.704496409419352,25159
A02_control,A_legacy,control,14,52.86842105263158,52.868421052631575,524.5701823925508,524.5928623631912,0.02267997064041083,0.02267997064041083,30.521291144898797,21700
A02_control,A_legacy,control,15,56.64473684210527,56.64473684210527,514.01630787243,517.7309933368897,3.7146854644596488,3.7146854644596488,31.735196005223436,19329
A02_control,A_legacy,control,16,60.42105263157895,60.421052631578945,499.5646179624673,499.7784428197382,0.21382485727087897,0.21382485727087897,36.66447139073803,22700
A02_control,A_legacy,control,17,64.19736842105263,64.19736842105263,495.0250598464668,483.55205641030017,-11.473003436166607,11.473003436166607,43.792391744033175,25252
A02_control,A_legacy,control,18,67.97368421052632,67.97368421052632,486.4867244655335,467.37055046287713,-19.11617400265635,19.11617400265635,48.400178867467545,25571
A02_control,A_legacy,control,19,71.75,71.75,468.7498799456037,445.2897031164823,-23.460176829121394,23.460176829121394,50.8657790167101,17212
A02_sepsis,A_legacy,sepsis,1,3.407894736842105,3.4078947368421053,557.2336048748283,545.5162129221497,-11.717391952678554,11.717391952678554,73.69896120284508,19241
A02_sepsis,A_legacy,sepsis,2,6.815789473684211,6.815789473684211,559.2436708316217,548.0894204626595,-11.154250368962153,11.154250368962153,71.09580914161043,21211
A02_sepsis,A_legacy,sepsis,3,10.22368421052632,10.223684210526315,560.3987896274358,548.2752001237587,-12.123589503677067,12.123589503677067,67.3851491216568,20280
A02_sepsis,A_legacy,sepsis,4,13.63157894736842,13.631578947368421,560.8155344757931,553.2171634971251,-7.598370978668072,7.598370978668072,65.14156502955615,20243
A02_sepsis,A_legacy,sepsis,5,17.03947368421053,17.039473684210527,561.1513433894442,555.9061478547318,-5.245195534712366,5.245195534712366,67.69740411630666,22143
