sample,category,item,value,unit,source,immutable_target,notes
control,worksheet mapping,all points,"[""channel pos"", ""frame"", ""displacement""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [399251, 3]"
control,worksheet mapping,Mean velocity by frame,"[""time (s)"", ""velocity (um/s)""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [1598, 2]"
control,worksheet mapping,Max velocity by frame,"[""time (s)"", ""velocity (um/s)""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [1598, 2]"
control,worksheet mapping,"Avg. mean velocity, 4 frames","[""time (s)"", ""velocity (um/s)""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [401, 2]"
control,worksheet mapping,Raw velocities,"[""channel pos"", ""frame"", ""displacement""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [399251, 3]"
control,worksheet mapping,Profile,"[""velocity (um/s)""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [20, 1]"
control,worksheet mapping,Bins,"[""bins""]",columns,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,"dimensions [21, 1]"
control,reference target,total feature rows,399250,mixed; see item,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,loaded read-only
control,reference target,Raw velocities rows,399250,mixed; see item,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,loaded read-only
control,reference target,represented frames,1597,mixed; see item,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,loaded read-only
control,reference target,mean frame velocity,507.2345610524238,mixed; see item,data/Full_analysis/Results/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi_analysis.xlsx,yes,loaded read-only
