case,variant,expected_dx,expected_dy,recovered_mean_dx,recovered_mean_dy,expected_velocity_or_speed,recovered_mean_velocity,absolute_velocity_error,profile_rmse,features,warnings
pure +x,A_legacy,4,0,3.5098115791230513,0.005795380067543165,4.0,3.513326580002463,0.4866734199975369,nan,169,
pure +x,B_conventional_frames,4,0,3.4932637920041056,0.011293724443785538,4.0,3.497365463414841,0.502634536585159,nan,169,
pure +x,C_direct_windows,4,0,4.066595579745502,0.004727964570536416,4.0,4.066612261992234,0.06661226199223425,nan,169,
pure +x,D_axial,4,0,4.066595579745502,0.004727964570536416,4,4.066595579745502,0.06659557974550179,nan,169,
pure +x,E_minimal_conventional,4,0,4.066595579745502,0.004727964570536416,4,4.066595579745502,0.06659557974550179,nan,169,
pure -x,A_legacy,-4,0,-3.5464858994681454,-0.01666204463800735,4.0,3.548500621107203,0.4514993788927968,nan,169,
pure -x,B_conventional_frames,-4,0,-3.500426465943015,-0.025402356887004783,4.0,3.5028852012735854,0.4971147987264146,nan,169,
pure -x,C_direct_windows,-4,0,-4.066314471543893,0.0031398965056831313,4.0,4.0663282984107205,0.06632829841072052,nan,169,
pure -x,D_axial,-4,0,-4.066314471543893,0.0031398965056831313,4,4.066314471543893,0.06631447154389303,nan,169,
pure -x,E_minimal_conventional,-4,0,-4.066314471543893,0.0031398965056831313,4,4.066314471543893,0.06631447154389303,nan,169,
pure y,A_legacy,0,3,0.002151843400029411,3.0475416071930823,3.0,3.04827622642294,0.04827622642293994,nan,171,
pure y,B_conventional_frames,0,3,0.005662065991283168,3.053743339854585,3.0,3.0543442759993513,0.05434427599935132,nan,169,
pure y,C_direct_windows,0,3,0.003184324185523761,3.083956952631121,3.0,3.0839989650884325,0.08399896508843252,nan,169,
pure y,D_axial,0,3,0.003184324185523761,3.083956952631121,0,0.010738327658388036,0.010738327658388036,nan,169,
pure y,E_minimal_conventional,0,3,0.003184324185523761,3.083956952631121,0,0.010738327658388036,0.010738327658388036,nan,169,
diagonal,A_legacy,4,3,1.9744710950126425,1.5483252709372002,5.0,2.5568232372490285,2.4431767627509715,nan,171,
diagonal,B_conventional_frames,4,3,2.068518534214539,1.5830937870860806,5.0,2.6426358854276892,2.3573641145723108,nan,169,
diagonal,C_direct_windows,4,3,3.9717720471895657,2.99705384045663,5.0,4.976276806825717,0.023723193174283175,nan,169,
diagonal,D_axial,4,3,3.9717720471895657,2.99705384045663,4,3.9717720471895657,0.02822795281043433,nan,169,
diagonal,E_minimal_conventional,4,3,3.9717720471895657,2.99705384045663,4,3.9717720471895657,0.02822795281043433,nan,169,
uniform plug,A_legacy,5,0,2.429830917945275,0.04187377387955344,5.0,2.4755380753229357,2.5244619246770643,2.5494632510025483,169,
uniform plug,B_conventional_frames,5,0,2.592573752770057,0.04657365866666715,5.0,2.62634111050318,2.37365888949682,2.350089150439465,169,
uniform plug,C_direct_windows,5,0,4.9713701270741115,0.010188139401949368,5.0,4.9714022162397935,0.028597783760206497,0.03217137030745217,169,
uniform plug,D_axial,5,0,4.9713701270741115,0.010188139401949368,5,4.9713701270741115,0.028629872925888478,0.03220394757086691,169,
uniform plug,E_minimal_conventional,5,0,4.9713701270741115,0.010188139401949368,5,4.9713701270741115,0.028629872925888478,0.03220394757086691,169,
near legacy window limit,A_legacy,9,0,-0.03610640023587018,0.11643301946877023,9.0,1.1602691154508196,7.83973088454918,nan,169,
near legacy window limit,B_conventional_frames,9,0,0.1084213595418535,0.19176369164822368,9.0,1.0227115166610514,7.977288483338949,nan,169,
near legacy window limit,C_direct_windows,9,0,3.78420034103845,0.2870940033500717,9.0,3.867145543620431,5.132854456379569,nan,169,
near legacy window limit,D_axial,9,0,3.78420034103845,0.2870940033500717,9,3.78420034103845,5.21579965896155,nan,169,
near legacy window limit,E_minimal_conventional,9,0,3.78420034103845,0.2870940033500717,9,3.78420034103845,5.21579965896155,nan,169,
parabolic by y,A_legacy,nan,0,1.691485804896201,0.06929609596088368,nan,1.8081366234328797,,4.037770467909514,186,
parabolic by y,B_conventional_frames,nan,0,1.7213153161946133,0.07218573925763193,nan,1.8419238093513004,,4.013100573423363,169,
parabolic by y,C_direct_windows,nan,0,5.665750401965259,-0.004971786363590399,nan,5.666039114167704,,0.48638380215748417,169,
parabolic by y,D_axial,nan,0,5.665750401965259,-0.004971786363590399,nan,5.665750401965259,,0.48621267040336086,169,
parabolic by y,E_minimal_conventional,nan,0,5.665750401965259,-0.004971786363590399,nan,5.665750401965259,,0.4866732232376945,169,
